crystal_density,df,pore_size,void_fraction,selectivity
1151.99,6.80253,11.252510000000001,0.13044,6.048366897572683
1760.82,4.14331,4.8208400000000005,0.0065,8.162258963590732
1787.6,4.08045,4.80529,0.00536,8.122829000586863
1812.43,4.0492099999999995,4.7727,0.00466,8.221913447053225
1848.14,4.0168,4.74458,0.00498,8.296224603786865
1906.4,3.9715,4.73097,0.0017,8.640053604102775
1929.29,3.9435599999999997,4.70447,0,8.564584817643436
1969.62,3.9218300000000004,4.69665,0,8.690418121866038
1917.52,4.0515,6.22728,0.037160000000000006,3.60626558129976
1158.26,4.030390000000001,5.07969,0.0094,8.751028023969285
1218.7,6.10482,6.863980000000001,0.05636,14.96681911694034
1313.24,4.2045,5.47565,0.01924,9.23235592733424
1100.89,7.0307,8.257760000000001,0.09454,7.733225067540813
1686.56,4.606380000000001,5.6669,0.009040000000000001,6.405938572886702
1149.23,4.65537,7.1439,0.07914,11.69355007135647
1154.56,3.89327,5.20085,0,20.2833204870315
1259.5,3.9488800000000004,5.20115,0,18.812488626615025
863.404,5.53552,8.42183,0.1351,7.061186958617628
1084.33,4.98761,7.43814,0.06354,9.029578200309908
2309.29,4.30437,6.47918,0.02888,10.849199470734648
559.424,9.00897,15.556270000000001,0.33305999999999997,4.348542157177615
694.283,7.82539,11.50806,0.23164,4.975762376380541
1719.93,4.5372,5.192,0.0121,18.803177628542077
881.927,5.40077,12.29205,0.14412,6.858194865737882
343.939,13.49014,22.82164,0.5574,2.4057223271174095
435.602,10.92309,21.62414,0.50572,4.14644812828228
629.247,6.600239999999999,18.234379999999998,0.31278,4.780900196287961
631.614,6.71346,18.07263,0.30934,5.054395545561623
625.69,6.7332,17.15696,0.28188,4.357082881575622
337.25699999999995,10.27637,26.33515,0.545,3.553168931664533
238.773,13.339039999999999,27.33782,0.6230399999999999,2.2450706643463065
377.57300000000004,12.17426,24.55082,0.54748,3.512202601517978
1263.42,4.10445,5.76724,0.0237,10.72414206001389
1637.95,3.7659599999999998,5.54673,0,10.192493013395008
1637.95,3.7694300000000003,5.50949,0,10.258353723224854
1716.16,3.85295,5.48974,0,10.145029828164242
1700.54,3.86827,5.46481,0,8.835841268179376
1700.54,3.86636,5.42744,0,8.924844692927186
1747,3.8393699999999997,5.38376,0,8.444046185033935
1038.76,4.9065,10.017,0.12318,4.610094213250379
1216.6,5.30365,5.97541,0.02624,13.622935508296404
1287.96,5.3133099999999995,5.9443,0.0267,14.564999193913264
1315.73,5.29096,5.93337,0.02642,14.87508461502133
1101.29,5.12689,5.99825,0.05382000000000001,11.678146883874966
1069.24,4.09997,4.64023,0.00586,12.519583649708935
1016.79,5.37116,7.3533,0.052239999999999995,9.437325543246407
1322.82,5.08524,7.1406600000000005,0.040760000000000005,8.99241608308791
1122.21,4.520969999999999,6.3306,0.04162,10.338865454112058
1125.72,4.7481,6.43864,0.0452,10.543066170338975
1074.39,6.772869999999999,8.7931,0.13484000000000002,11.024863081613553
1059.68,6.814080000000001,8.80212,0.13666,10.707706396813041
1040.76,6.547540000000001,8.32882,0.12574000000000002,10.064548919949173
1022.05,6.8605100000000006,8.81515,0.13962,10.552822389374533
1094.79,6.74118,8.793339999999999,0.1343,10.992116572774492
1048.16,6.84598,8.78847,0.13402,10.752264163111876
979.427,5.71785,7.73482,0.07912000000000001,7.182636001195844
1386.41,4.58891,5.43312,0.043680000000000004,8.559308261916078
1771.94,6.25183,6.77693,0.061939999999999995,8.24706903521914
887.0010000000001,5.3051699999999995,7.04953,0.11632,5.3789689954153985
1927.01,3.4684199999999996,4.30724,0,10.566445336832201
1983.92,4.893009999999999,7.126110000000001,0.031160000000000004,9.453550548683884
1956.51,4.856319999999999,5.15455,0.008440000000000001,7.4551596959505035
1143.06,9.18984,9.501389999999999,0.13354000000000002,7.059594268468176
649.966,5.98269,11.92678,0.27436,5.452858706034335
697.2610000000001,5.8094,8.58065,0.184,5.1286981376474365
1697.41,8.876560000000001,8.89229,0.11807999999999999,3.4552119425255197
